filename,category,sku,name,description,brand,type,price,revenue
Screenshot 2025-12-06 023143.png,potplayer,MEDIA-011,Flat Design Player,Flat design interface,Flat Design Inc,Flat Design,203.85,28470.74
Screenshot 2025-12-06 023708.png,potplayer,MEDIA-012,Gradient Controls Theme,Gradient styling design,Gradient Tech,Gradient Effects,171.84,15829.03
Screenshot 2025-12-06 023715.png,potplayer,MEDIA-013,Compact Player Skin,Compact player layout,Compact Media,Compact Design,166.97,3551.03
Screenshot 2025-12-06 023727.png,potplayer,MEDIA-014,Transparent Overlay UI,Transparent elements design,Transparency Lab,Transparency,150.62,37660.0
Screenshot 2025-12-06 024048.png,potplayer,MEDIA-015,Material Design Player,Material design interface,Material Studio,Material Design,161.42,23074.28
Screenshot 2025-12-06 024439.png,potplayer,MEDIA-016,Cinematic Mode Skin,Cinematic design interface,Cinema Tech,Cinematic,128.65,49995.61
Screenshot 2025-12-04 224221.png,list,LIST-001,Task Management UI,Task management interface,Task Systems,Management Tools,175.1,45717.19
Screenshot 2025-12-04 224250.png,list,LIST-002,Project Board Template,Project board layout,Project Pro,Project Management,283.13,35015.02
Screenshot 2025-12-04 224301.png,list,LIST-003,Kanban View Design,Kanban board interface,Agile Tech,Agile Tools,202.03,34991.79
Screenshot 2025-12-04 224319.png,list,LIST-004,Todo List Interface,Todo management interface,Todo Apps,Productivity,271.25,26263.02
Screenshot 2025-12-04 224333.png,list,LIST-005,Checklist Component,Checklist interface,Checklist Tech,Components,216.3,21235.93
Screenshot 2025-10-28 193631.png,imagematch,IMG-001,Image Matcher Pro,Professional image matching,Image Tech,Image Processing,33.93,42523.01
Screenshot 2025-11-20 191255.png,imagematch,IMG-002,Visual Search Engine,Visual search solution,Search Corp,Search Tools,219.5,41783.63
Screenshot 2025-11-25 163246.png,imagematch,IMG-003,AI Image Comparison,AI-powered comparison,AI Vision,AI Tools,20.62,47920.79
Screenshot 2025-11-25 165537.png,imagematch,IMG-004,Product Match Tool,Product matching tool,Match Systems,Product Tools,134.4,28297.48
Screenshot 2025-11-25 165756.png,imagematch,IMG-005,Similarity Finder,Similarity detection tool,Similarity Tech,Detection Tools,113.83,42762.61
Screenshot 2025-11-25 165934.png,imagematch,IMG-006,Duplicate Detector,Duplicate detection system,Duplicate Tech,Duplicate Detection,147.29,24825.54
Screenshot 2025-11-26 145612.png,imagematch,IMG-007,Visual Analytics Suite,Analytics suite for visuals,Analytics Pro,Analytics,92.74,19655.65
Screenshot 2025-12-06 122012.png,imagematch,IMG-008,Image Recognition API,API for image recognition,API Systems,APIs,88.62,7121.61
Screenshot 2025-12-06 122024.png,imagematch,IMG-009,CLIP Model Integration,CLIP model integration,ML Systems,Machine Learning,207.02,15922.06
Screenshot 2025-12-06 122217.png,imagematch,IMG-010,Catalog Manager Pro,Professional catalog manager,Catalog Pro,Catalog Tools,97.16,31990.82
Screenshot 2025-12-06 203213.png,imagematch,IMG-011,Batch Processing Tool,Batch processing system,Batch Systems,Processing Tools,289.23,9130.03
Screenshot 2025-09-16 165029.png,extension,EXT-001,Browser Extension Pack,Browser extension collection,Browser Tech,Extensions,91.47,12040.49
Screenshot 2025-09-19 230727.png,extension,EXT-002,Chrome Plugin Suite,Chrome plugin collection,Chrome Systems,Plugins,33.32,36454.99
Screenshot 2025-09-20 142550.png,extension,EXT-003,Developer Tools Add-on,Developer tools addon,Dev Tools Inc,Development,83.7,34846.52
Screenshot 2025-09-26 123637.png,extension,EXT-004,Productivity Enhancer,Productivity enhancement tool,Productivity Labs,Productivity,277.63,11148.12
Screenshot 2025-10-21 182854.png,extension,EXT-005,UI Customizer Plugin,UI customization plugin,UI Custom,Customization,240.77,19421.38
Screenshot 2025-11-10 162813.png,extension,EXT-006,API Integration Tool,API integration solution,API Labs,Integration,149.25,47967.25
Screenshot 2025-11-10 164320.png,extension,EXT-007,Security Extension,Security enhancement tool,Security Pro,Security,140.72,42682.93
Screenshot 2025-11-26 123123.png,extension,EXT-008,Performance Monitor,Performance monitoring tool,Monitor Tech,Monitoring,55.59,42602.82
Screenshot 2025-12-01 023524.png,extension,EXT-009,Theme Manager Pro,Professional theme manager,Theme Master,Theme Management,80.95,13201.89
Screenshot 2025-12-04 174958.png,coding,CODE-001,Code Editor Theme Dark,Dark editor theme,Editor Themes,Themes,200.75,49471.32
Screenshot 2025-12-04 182208.png,coding,CODE-002,Syntax Highlighter Pack,Syntax highlighting tools,Code Studio,Code Tools,208.08,7775.71
Screenshot 2025-12-04 182212.png,coding,CODE-003,IDE Color Scheme,IDE color configuration,IDE Systems,Configuration,224.02,15826.95
Screenshot 2025-12-04 182255.png,coding,CODE-004,Developer Icon Set,Developer icon library,Icon Labs,Icons,216.35,3012.18
Screenshot 2025-12-04 182302.png,coding,CODE-005,VS Code Extension,VS Code extension,Code Systems,Extensions,295.18,42702.38
Screenshot 2025-12-04 190506.png,coding,CODE-006,Snippet Library Pro,Professional snippet library,Snippet Pro,Snippets,74.72,44135.1
Screenshot 2025-12-04 190611.png,coding,CODE-007,Auto-Complete Plugin,Auto-completion plugin,Auto Labs,Auto-Complete,297.98,2883.84
Screenshot 2025-11-24 234113.png,clothing,CLO-001,T-Shirt Design Blue,Blue t-shirt design,Fashion Co,Apparel,286.96,48153.18
Screenshot 2025-11-24 234116.png,clothing,CLO-002,T-Shirt Design Red,Red t-shirt design,Fashion Co,Apparel,47.91,36501.1
Screenshot 2025-11-25 225921.png,clothing,CLO-003,Hoodie Mockup Black,Black hoodie mockup,Fashion Co,Apparel,66.17,9484.55
Screenshot 2025-11-25 225924.png,clothing,CLO-004,Hoodie Mockup Gray,Gray hoodie mockup,Fashion Co,Apparel,268.36,36897.36
Screenshot 2025-11-25 225927.png,clothing,CLO-005,Jacket Design Winter,Winter jacket design,Fashion Co,Outerwear,92.84,37039.08
Screenshot 2025-11-25 230318.png,clothing,CLO-006,Pants Template Modern,Modern pants design,Fashion Co,Bottoms,289.35,44836.07
